SUE GRAFTON,22
W. BRUCE CAMERON,2
KIMBERLA LAWSON ROBY,3
PATRICIA CORNWELL,25
FRANK HERBERT,3
SANDRA BROWN,40
JOHN JAKES,7
SEBASTIAN FAULKS,2
E.B. WHITE,1
KENDALL HART,1
SUSAN ERTZ,3
ALICE MCDERMOTT,4
PETER MAYLE,5
KAYE GIBBONS,1
R. A. SALVATORE,21
ROBERT CRAIS,13
ERIC JEROME DICKEY,11
NORA ROBERTS,38
LAUREN WEISBERGER,6
RANDY WAYNE WHITE,15
KAREN KINGSBURY,13
MICHAEL CONNELLY,28
IRIS JOHANSEN,30
NICO WALKER,1
JAMES A. MICHENER,16
MAEVE BINCHY,14
RICHARD LLEWELLYN,4
TOM ROB SMITH,1
DANIELLE STEEL,116
VARDIS FISHER,2
DAVIS GRUBB,2
BARBARA HAMBLY,2
ELIZABETH PETERS,9
KAY HOOPER,7
RUMER GODDEN,11
LISA SEE,6
A. A. MILNE,2
JOANNE FLUKE,12
CHUCK PALAHNIUK,13
DIANE MOTT DAVIDSON,10
HARRY MARK PETRAKIS,2
STUART WOODS,63
JOHN DOS PASSOS,5
VERONICA ROTH,1
JOHN SANDFORD,44
PIETRO DI DONATO,1
ANNE RICE,24
STEPHEN KING,54
W. SOMERSET MAUGHAM,5
WILLIAM FAULKNER,8
DEBBIE MACOMBER,36
CATHERINE MARSHALL,2
ROBIN COOK,28
HEATHER MORRIS,1
JAMES LEE BURKE,23
JOHN D. MACDONALD,8
MADELINE MILLER,1
PAULA MCLAIN,3
JOHN O'HARA,20
PAULA MCLAIN,1
ALISTAIR MACLEAN,15
PHILLIP GIBBS,2
CORMAC MCCARTHY,5
HOWARD FAST,10
DOUGLAS PRESTON AND LINCOLN CHILD,20
ELIZABETH GILBERT,2
E. L. DOCTOROW,6
JOHN RECHY,1
JOYCE CARY,5
GARTH RISK HALLBERG,1
PIERRE LA MURE,3
ETHEL BOILEAU,2
RONA JAFFE,4
ROBERT GRAVES,2
J. A. JANCE,23
RITA MAE BROWN AND SNEAKY PIE BROWN,8
LAWRENCE DURRELL,5
TOM  CLANCY,1
TOM CLANCY,13
GEORGE R. R. MARTIN,5
HELEN MACINNES,18
JAMES LUCENO,7
ANNE TYLER,16
CARSON MCCULLERS,1
W. E. B. GRIFFIN,23
IRIS JOHANSEN AND ROY JOHANSEN,2
MARGERY SHARP,10
BARBARA DELINSKY,14
JERZY KOSINISKI,1
WILLIAM PEARSON,1
BRAD THOR,15
KEN FOLLETT,22
GEORGE HIGGINS,1
TAMI HOAG,15
JIM BUTCHER,14
DEAN R. KOONTZ,8
JACK HIGGINS,32
CHARLES FRAZIER,4
GLADYS HASTY CARROLL,3
ROBERT B. PARKER,47
C. J. BOX,11
WALLACE STEGNER,4
ANNE RIVERS SIDDONS,14
HARUKI MURAKAMI,6
NGAIO MARSH,3
PHYLLIS WHITNEY,1
LARRY MCMURTRY,13
EDNA FERBER,7
LISA SCOTTOLINE,25
ALLEN DRURY,7
CYNTHIA FREEMAN,7
JAN KARON,13
JULIE GARWOOD,20
DICK FRANCIS,23
LEONARD DROHAN,1
SPENCER QUINN,2
PEARL S. BUCK,21
JEFFREY ARCHER,22
PETER DE VRIES,5
LESTER COHEN,1
ROSAMUNDE PILCHER,5
TOM CLANCY WITH MARK GREANEY,3
WILLIAM WISTER HAINES,1
ROBERT STONE,3
C. S. FORESTER,4
ANN PATCHETT,4
JOSEPH FINDER,9
JONATHAN KELLERMAN,36
MEYER LEVIN,4
J. D. ROBB,27
ADÈLE LANG,1
HAROLD LAMB,1
JACKIE COLLINS,22
THOMAS MANN,7
TERRY GOODKIND,14
GLADYS SCHMITT,3
MICHAEL CRICHTON,17
STUART CLOETE,1
J.D. ROBB,7
VINCE FLYNN,11
HARRIET DOERR,1
CARL SAGAN,1
LORRIE MOORE,3
FLETCHER KNEBEL AND CHARLES W. BAILEY II,2
AARON ALLSTON,4
RICHARD NORTH PATTERSON,15
KARIN SLAUGHTER,15
JAYNE ANN KRENTZ,22
JOHN MASTERS,6
OAKLEY HALL,2
CLIVE CUSSLER AND JACK DU BRUL,3
AMOR TOWLES,2
SOMERSET MAUGHAM,3
ANGELA THIRKELL,6
MARGUERITE YOURCENAR,2
JOHN UPDIKE,19
LINDA HOWARD,16
CHRISTINE FEEHAN,19
W. E. B. GRIFFIN AND WILLIAM E. BUTTERWORTH IV,12
TONY HILLERMAN,12
JAMES PATTERSON,33
LISA GARDNER,16
GORE VIDAL,13
W SOMERSET MAUGHAN,1
DEE BROWN,1
KATE ATKINSON,4
BELVA PLAIN,15
CLIVE CUSSLER AND DIRK CUSSLER,8
JESSAMYN WEST,7
JONATHAN KELLERMAN AND JESSE KELLERMAN,2
DENNIS WHEATLEY AND J. H. LINKS,2
LAURELL K. HAMILTON,28
DON TRACY,1
LEON URIS,11
