0,"""H"" IS FOR HOMICIDE",SUE GRAFTON,15,1991-05-05,2
1,"""I"" IS FOR INNOCENT",SUE GRAFTON,11,1992-04-26,2
10,'G'' IS FOR GUMSHOE,SUE GRAFTON,6,1990-05-06,8
100,A DOG'S JOURNEY,W. BRUCE CAMERON,1,2012-05-27,14
1000,CHANGING FACES,KIMBERLA LAWSON ROBY,1,2006-02-19,14
1001,CHAOS,PATRICIA CORNWELL,3,2016-12-04,7
1002,CHAPTERHOUSE: DUNE,FRANK HERBERT,16,1985-04-21,2
1003,CHARADE,SANDRA BROWN,5,1994-05-01,10
1004,CHARLESTON,JOHN JAKES,4,2002-08-25,12
1005,CHARLOTTE GRAY,SEBASTIAN FAULKS,1,1999-03-14,17
1006,CHARLOTTE'S WEB,E.B. WHITE,3,1952-11-09,13
1007,CHARM!,KENDALL HART,2,2008-02-24,13
1008,CHARMED CIRCLE,SUSAN ERTZ,11,1956-07-15,8
1009,CHARMING BILLY,ALICE MCDERMOTT,6,1998-12-27,5
101,A DOG'S LIFE,PETER MAYLE,9,1995-04-09,5
1010,CHARMS FOR THE EASY LIFE,KAYE GIBBONS,8,1993-05-02,11
1011,CHARON'S CLAW,R. A. SALVATORE,1,2012-08-26,4
1012,CHARON'S CLAW,R. A. SALVATORE,1,2012-09-02,16
1013,CHASING CEZANNE,PETER MAYLE,12,1997-06-22,6
1014,CHASING DARKNESS,ROBERT CRAIS,2,2008-07-20,7
1015,CHASING DESTINY,ERIC JEROME DICKEY,3,2006-04-30,6
1016,CHASING FIRE,NORA ROBERTS,5,2011-05-01,1
1017,CHASING HARRY WINSTON,LAUREN WEISBERGER,11,2008-06-15,4
1018,CHASING MIDNIGHT,RANDY WAYNE WHITE,1,2012-03-25,7
1019,CHASING SUNSETS,KAREN KINGSBURY,1,2015-04-26,14
102,A DOG'S WAY HOME,W. BRUCE CAMERON,2,2017-05-28,10
1020,CHASING THE DIME,MICHAEL CONNELLY,3,2002-11-03,3
1021,CHASING THE NIGHT,IRIS JOHANSEN,1,2010-11-07,13
1022,CHERRY,NICO WALKER,1,2018-09-02,14
1023,CHESAPEAKE,JAMES A. MICHENER,47,1978-07-23,1
1024,CHESAPEAKE BLUE,NORA ROBERTS,5,2002-11-24,1
1025,CHESTNUT STREET,MAEVE BINCHY,5,2014-05-11,3
1026,CHEZ PAVAN,RICHARD LLEWELLYN,8,1958-08-24,10
1027,CHILD 44,TOM ROB SMITH,3,2008-05-18,9
1028,CHILD'S PLAY,DANIELLE STEEL,1,2019-10-27,9
1029,CHILDREN OF GOD,VARDIS FISHER,9,1939-09-04,2
103,A DREAM OF KINGS,DAVIS GRUBB,1,1955-10-23,15
1030,CHILDREN OF THE JEDI,BARBARA HAMBLY,4,1995-04-30,6
1031,CHILDREN OF THE STORM,ELIZABETH PETERS,2,2003-04-20,11
1032,CHILL FACTOR,SANDRA BROWN,6,2005-09-04,1
1033,CHILL OF FEAR,KAY HOOPER,3,2005-08-14,12
1034,CHINA COURT,RUMER GODDEN,21,1961-03-26,5
1035,CHINA DOLLS,LISA SEE,2,2014-06-22,10
1036,CHLOE MARR,A. A. MILNE,1,1946-09-22,16
1037,CHOCOLATE CREAM PIE MURDER,JOANNE FLUKE,1,2019-03-17,6
1038,CHOKE,CHUCK PALAHNIUK,3,2001-06-10,10
1039,CHOPPING SPREE,DIANE MOTT DAVIDSON,2,2002-07-14,12
104,A DREAM OF KINGS,HARRY MARK PETRAKIS,12,1966-10-30,8
1040,CHOPPY WATER,STUART WOODS,1,2020-08-30,6
